순위,등급,점수,신뢰도,업체명,유형,URL,B2B근거,카테고리,가격표본,MOQ,배송·직배송,연락수단,선정이유,질문,위험,확인일,근거URL
1,1차,90,HIGH,코레카,제조·수입·도매,"https://koreca.net/","사업자등록증 승인 후 도매 공급가·재고 확인 가능한 도매업자 전용몰","일반·특수 장갑;안전화;보호구","핸드맥스 파워컷플러스그립 534 공개 예시 8000원;VAT 별도","1켤레부터 표시","15시 이전 당일출고;10만원 이상 무료배송;최종고객 직배송 확인 필요","1566-7323;market@koreca.co.kr","일반 작업장갑 0개 공백과 재고·주문 운영을 동시에 해결 가능","온라인 재판매 승인;중립포장;CSV/API;이미지 사용권;가격 할인구간","승인 전 실제 공급가 비공개;상품 데이터 재사용 조건 미확인",2026-08-06,"https://koreca.net/goods/catalog?code=00060003 | https://m.koreca.net/member/login | https://koreca.net/intro/member_only?return_url=%2F"
2,1차,86,HIGH,크레텍,산업재 B2B 유통,"https://www.cretec.kr/","1400개 메이커·14만 품목 공급;CTX 전자주문;공구상 판매몰·가격표 연동","PPE;공구;계측;용접;시설 안전","3M·K2·OTOS 등 안전 브랜드 취급;공개 숫자 단가 없음","거래계약 확인 필요","익일배송 체계 근거;최종고객 직배송 확인 필요","공식 고객 문의;CTX 신규 거래 문의","단일 브랜드가 아닌 광범위 도매꾹 대체와 데이터 연동 가능성","온라인 판매 사업자 CTX 자격;도매가;중립포장;SKU·이미지·재고 피드;반품","거래형 공구상 중심일 수 있음;가격·재판매 조건 비공개",2026-08-06,"https://www.cretec.kr/kor/business/summary.jsp | https://chegim.kr/kor/business/ctx.jsp | https://www.cretec.kr/webzine/sub/wz_view.jsp?bid=1&col=&num=3592&pg=1&sw=&wz="
3,1차,82,MEDIUM,아주세이프티,안전용품 전문 유통,"https://www.ajusafety.com/","1981년 설립;전국 도매협력사;직거래 가격협의 제품","PPE;건설·도로;소방;의료·구호;계측;표지","알곤장갑·용접보호구 가격협의","확인 필요","신속 공급·A/S 표방;직배송·중립포장 확인 필요","02-2267-3902;ajusafety@hanmail.net","안전 전 분야와 도매협력사 근거가 있어 범용 주 공급처 가능성","도매협력 조건;가격표;MOQ;VAT·배송;직배송;상품자료 사용권","공개 숫자 가격·재고·데이터 방식 없음",2026-08-06,"https://www.ajusafety.com/ | https://www.ajusafety.com/contact | https://blog.daara.co.kr/sell_list.html?cid=ajusafety"
4,2차,83,HIGH,서브원,기업 MRO 구매 플랫폼,"https://www.serveone.co.kr/","기업회원 전용 산업재몰;1인 사업자부터 도입;100만여 품목;자동발주·재고 가시화","안전용품;장갑;안전화;호흡기;시설안전","3M 귀마개 등 취급;기업 로그인·견적 필요","계약별 확인 필요","전국 물류·배송 이력;최종고객 직배송 확인 필요","02-6740-8550;mroservice@serveone.co.kr","대규모 품목·데이터·물류 역량","재판매 사업자 공급;최종고객 직배송;상품정보 사용;최소 계약규모","구매대행 고객용 구조라 온라인 재판매 허용 여부가 핵심 미확인",2026-08-06,"https://www.serveone.co.kr/kr/support/new-introduction-guide.do | https://www.serveone.co.kr/kr/purchasing-service/mro.do | https://m.serveone.co.kr/m/kr/purchasing-service/business/consumable-materials.do"
5,2차,81,HIGH,아이마켓코리아,기업 MRO·전문유통,"https://www.imarketkorea.com/","MRO 구매대행;전문유통;대형 물류센터와 기업용 플랫폼","공구;건설현장 안전용품;PPE","K2 하이터치2 상품 확인;가격은 VAT 별도 로그인형","확인 필요","통합 물류;최종고객 직배송 확인 필요","공식 사업 문의;02-3708-5257","MRO 소싱·물류·IT를 함께 보유","재판매 계정;가격표;직배송;재고·송장 피드;이미지 권한","Coreable 같은 판매자 대상 조건 미확인",2026-08-06,"https://www.imarketkorea.com/ | https://www.imarket.co.kr/p/1039717670"
6,2차,79,HIGH,나눔테크,AED 제조사,"https://www.nanoomtech.com/","공식몰·나라장터 다수공급자계약과 문의 채널","AED;보관함;교육용 AED","ReHeart NT-381.C 1980000원;벽걸이함 220000원;VAT 확인 필요","1대 가능 여부 확인 필요","조달 납기 30일;일반 직배송·설치 확인 필요","070-4493-4051","Coreable AED 0개 공백을 공식 제조사로 보완","온라인 재판매;도매가;VAT;설치·교육;소모품;의료기기 자료;직배송","재판매 권한과 설치·사후관리 책임 미확인",2026-08-06,"https://www.nanoomtech.com/data/file/download/381C.pdf"
7,2차,78,HIGH,엔투비,기업 MRO 구매 플랫폼,"https://mro.entob.com/","표준 상품 DB;스마트 구매 플랫폼;우수공급사 기반 공급망","MRO;일반·안전 소모성 자재","대표 안전용품 가격은 로그인·견적 필요","계약별 확인 필요","기업 납품 체계;최종고객 직배송 확인 필요","공식 구매서비스 문의","데이터 표준화와 공급망 운영 강점","소형 온라인 판매자 계약;재판매;직배송;상품 피드;최소 거래액","재판매용 공급 모델인지 미확인",2026-08-06,"https://mro.entob.com/homepage/BusiInfo.jsp | https://mro.entob.com/homepage/CmpyInfo.jsp"
8,2차,76,HIGH,아일라글로벌(카멜로),안전장갑·의류 제조사,"https://www.kamelo24.com/","1980년부터 산업안전용품 제조;국내·베트남 생산;공식 판매몰","일반·용접·절연·진동·방한·방수 장갑;보호복","808-L 7500원+배송3000원;도매꾹 6800원+3300원","소매 1켤레;도매 MOQ 확인 필요","3만원 이상 무료배송;반품 편도3000원;직배송·중립포장 확인 필요","02-6925-0882;islaglobal0709@gmail.com","제조사 직접 협상과 일반 작업장갑 확장 가능","도매가·MOQ;808-L 할인구간;중립포장;이미지·인증자료;송장","공식몰 소매가는 도매꾹보다 낮지 않음;도매 조건 비공개",2026-08-06,"https://kamelo24.com/service/company.php | https://www.kamelo24.com/goods/goods_view.php?goodsNo=1000000012 | https://domeggook.com/SdvvwJ"
9,2차,74,HIGH,가스트론,가스감지기 제조사,"https://gastron.com/","1992년 설립 제조사;제품별 문의·공식 온라인몰 문의;사업자·연락처 공개","휴대·고정·무선 가스감지기;경광등;수신반","GFM-500C 휴대용 5가스 감지기 견적 필요","확인 필요","설치·교정·A/S와 직배송 확인 필요","031-490-0800;info@gastron.com","가스·스마트 가스·IoT 공백에 직접 부합","유통 공급가;재판매 모델;교정 책임;KCs 자료;데이터 연동;납기","프로젝트형 장비 비중이 높고 공개 단가 없음",2026-08-06,"https://www.gastron.com/home/m_board.php?ps_category=2&ps_db=productNew | https://gastron.com/home/m_board.php?ps_db=manual"
10,2차,73,HIGH,센코,가스센서·감지기 제조사,"https://senkosys.co.kr/","20년 이상 제조;산업·환경 맞춤 솔루션;IoT·클라우드 연동","휴대·고정 가스감지기;스마트 가스;미세먼지 센서","iGas Detector CO2 견적 필요","확인 필요","유지보수·시스템 통합 지원;일반 직배송 확인 필요","031-492-0445","가스·분진·IoT 계측 공백과 스마트 연동 적합","유통 공급가;재판매;교정·A/S;KC/KCs;API;납기·직배송","공개 가격과 유통 정책 없음",2026-08-06,"https://en.senkosys.co.kr/about/about.php | https://en.senkosys.co.kr/product/view.php?prod_idx=13 | https://en.senkosys.co.kr/market/semiconductor.php"
11,2차,72,HIGH,한국드레가,산업안전 제조·솔루션,"https://www.draeger.com/ko_kr/Safety/Industrial-Safety-Solutions","산업 고객 견적 요청과 한국 법인 연락 채널","가스검지;호흡보호;보호복;화학 안전","X-am 계열 휴대 가스검지기 견적 필요","확인 필요","컨설팅·설계·서비스;소매 직배송 확인 필요","공식 견적 요청;한국드레가 연락","고위험·전문 장비 카테고리 보완","공식 총판;온라인 재판매;공급가;교정·A/S;자료 사용;납기","고가 전문장비이며 재판매·직배송 정책 미확인",2026-08-06,"https://www.draeger.com/ko_kr/Safety/Industrial-Safety-Solutions | https://www.draeger.com/ko_kr/About-Draeger | https://www.draeger.com/Content/Documents/Content/Draeger-Safety-Catalogue-Korea-2025.pdf"
